Image Filename,Original Location,Branding Detected Yes/No,Detection Method,Branding Area Coordinates,Safe To Auto-Clean Yes/No,Reason,Needs Manual Mask Yes/No
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"965,63,283,129",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=8819.,No
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,Yes,top-right color logo heuristic,"842,45,441,192",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=9953.,No
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,Yes,top-right color logo heuristic,"975,20,330,168",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=10937.,No
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"861,20,428,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=21447. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"906,20,322,248",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=22674.,No
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"850,20,455,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=28843. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-4.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=52187. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-yellow-moti-suit-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-moti-suit-set-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"842,36,463,249",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=16956. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-yellow-moti-suit-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-moti-suit-set-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=67456. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-yellow-moti-suit-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-moti-suit-set-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"842,23,463,262",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=21143. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-yellow-moti-suit-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-moti-suit-set-for-festive-events-image-4.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=32973. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-mirror-palazzo-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-mirror-palazzo-set-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=19547. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-mirror-palazzo-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-mirror-palazzo-set-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"842,24,463,261",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=11972. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-mirror-palazzo-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-mirror-palazzo-set-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"842,45,463,240",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=13010. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-mirror-palazzo-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-mirror-palazzo-set-for-festive-events-image-4.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=15732. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,Yes,fallback top-right LaPink mask,"913,69,359,178",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=15.,Yes
luxemia-grey-moti-sharara-suit-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-grey-moti-sharara-suit-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"843,20,462,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7627. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,Yes,fallback top-right LaPink mask,"913,69,359,178",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=4.,Yes
luxemia-purple-mirror-anarkali-suit-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-purple-mirror-anarkali-suit-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"842,20,439,217",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=13334. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-purple-mirror-anarkali-suit-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-purple-mirror-anarkali-suit-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"842,23,392,245",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=8399. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-purple-mirror-anarkali-suit-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-purple-mirror-anarkali-suit-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"842,20,424,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=45626. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-yellow-stone-palazzo-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-stone-palazzo-set-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"922,62,284,129",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=8139.,No
luxemia-yellow-stone-palazzo-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-stone-palazzo-set-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"896,62,310,223",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=9397.,No
luxemia-yellow-stone-palazzo-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-stone-palazzo-set-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"842,44,447,241",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=14690. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-yellow-stone-palazzo-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-yellow-stone-palazzo-set-for-festive-events-image-4.jpg,Yes,top-right color logo heuristic,"842,44,447,241",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=10209. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-rust-handwork-anarkali-suit-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"924,63,279,128",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7878.,No
luxemia-rust-handwork-anarkali-suit-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"842,63,364,222",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=12866.,No
luxemia-rust-handwork-anarkali-suit-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"922,66,284,125",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7971.,No
luxemia-rust-handwork-anarkali-suit-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-4.jpg,Yes,top-right color logo heuristic,"923,64,281,127",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7823.,No
luxemia-pink-sequined-gown-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-sequined-gown-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"924,20,381,171",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7666.,No
luxemia-pink-sequined-gown-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-sequined-gown-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"924,66,279,125",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7663.,No
luxemia-pink-sequined-gown-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-sequined-gown-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"924,66,279,125",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7484.,No
luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=78883. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=79662. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,Yes,top-right color logo heuristic,"842,20,463,170",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=36027.,No
luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-wine-beaded-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,Yes,top-right color logo heuristic,"885,20,319,265",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=13059.,No
luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-1.jpg,Yes,top-right color logo heuristic,"964,30,333,255",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=134.,No
luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-2.jpg,Yes,top-right color logo heuristic,"842,20,401,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=2074. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-3.jpg,Yes,top-right color logo heuristic,"1232,73,73,170",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=135.,No
luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-4.jpg,Yes,top-right color logo heuristic,"842,42,463,243",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=11676. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-5.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-receptions-image-5.jpg,Yes,top-right color logo heuristic,"842,91,463,182",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=549.,No
luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=70324. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"842,20,458,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=62010. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=84466. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-beaded-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=79568. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-cream-beaded-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-cream-beaded-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=46467. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-cream-beaded-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-cream-beaded-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=82255. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-cream-beaded-skirt-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-cream-beaded-skirt-set-for-festive-events-image-4.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=52351. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-beaded-skirt-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-beaded-skirt-set-for-festive-events-image-1.jpg,Yes,fallback top-right LaPink mask,"913,69,359,178",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=0.,Yes
luxemia-pink-beaded-skirt-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-beaded-skirt-set-for-festive-events-image-2.jpg,Yes,fallback top-right LaPink mask,"913,69,359,178",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=0.,Yes
luxemia-pink-beaded-skirt-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-beaded-skirt-set-for-festive-events-image-3.jpg,Yes,fallback top-right LaPink mask,"913,69,359,178",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=6.,Yes
luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=13207. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=31556. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,Yes,top-right color logo heuristic,"851,51,405,234",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=1272. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-champagne-beaded-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,Yes,top-right color logo heuristic,"924,20,381,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=21787. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=80292. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"842,20,304,265",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=30024.,No
luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,Yes,top-right color logo heuristic,"842,20,365,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=31971. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,Yes,top-right color logo heuristic,"842,20,375,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=55587. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-turquoise-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-turquoise-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=91024. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-turquoise-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-turquoise-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"877,20,428,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=80616. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-wine-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-wine-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=91621. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-wine-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-wine-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"901,20,404,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=82168. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=45076. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=51969. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=44107. Warning: large mask area; inspect for garment/background distortion.,Yes
