Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,silk-blue-wedding-wear-embroidery-work-saree-394443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Blue-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8309(2).jpg,2,Silk Blue Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
,silk-blue-wedding-wear-embroidery-work-saree-394443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Blue-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8309(3).jpg,3,Silk Blue Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
Silk Beige Wedding Wear Embroidery Work Saree,silk-beige-wedding-wear-embroidery-work-saree-394442,"<p><em>Where heritage meets modern sophistication - this is that piece.</em></p>

<h2>Silk Beige Wedding Wear Embroidery Work Saree</h2>

<p>Meet the <strong>Silk Beige Wedding Wear Embroidery Work Saree</strong> - a beautifully crafted <strong>saree</strong> made for wedding wear celebrations. Whether you're dressing for a wedding ceremony, a festive reception, or any celebration that calls for something extraordinary, this piece delivers the perfect balance of heritage, elegance, and contemporary style.</p>

<h3>The Fabric</h3>
<p><strong>Silk.</strong> Luxurious, luminous, and steeped in tradition - silk catches the light with every fold, creating a regal presence that transforms any occasion into something extraordinary.</p>

<h3>The Work</h3>
<p><strong>Embroidery Work.</strong> Intricate embroidery that transforms fabric into art - each stitch placed with precision to create patterns that captivate up close and from across the room.</p>

<h3>Why You'll Love This Piece</h3>
<ul>
  <li><strong>Colour:</strong> A carefully selected <strong>Beige</strong> tone - flattering across skin tones, stunning in photographs, and rich under both natural and indoor lighting.</li>
  <li><strong>Fabric:</strong> Silk - chosen for its drape, longevity, and the way it makes the wearer feel as good as they look.</li>
  <li><strong>Occasion:</strong> Crafted for wedding wear - equally beautiful at intimate family gatherings and grand celebrations.</li>
  <li><strong>Silhouette:</strong> Designed to move with you, not restrict you - flattering across a wide range of body types.</li>
  <li><strong>Provenance:</strong> Sourced from India's finest textile regions and curated by our boutique team for exceptional quality.</li>
</ul>

<h3>Styling Notes</h3>
<p>Pair with delicate gold jhumkas and a sleek bun for timeless Indian elegance.</p>

<h3>Common Questions</h3>
<p><strong>What occasions is this saree suitable for?</strong> This saree works beautifully for wedding ceremonies, festive gatherings, religious celebrations, reception events, and any occasion that calls for something extraordinary.</p>
<p><strong>Is the blouse included?</strong> Yes, this saree comes with a matching blouse piece that can be stitched to your measurements.</p>
<p><strong>How do I care for this fabric?</strong> We recommend dry cleaning to preserve the embroidery and fabric quality. Store folded in a cool, dry place away from direct sunlight.</p>

<p><small>Tags: beige, silk, saree, buy online, Indian ethnic wear USA, boutique Indian fashion, designer, traditional Indian wear online</small></p>",LuxemiaShop,Apparel & Accessories > Clothing,Sarees,"Beige, Silk, Wedding Wear, Embroidery Work, Saree, Sarees",TRUE,Active,LXM-SAR-005,,Color,Beige,,,,,,,,301.99,431.85,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Beige-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8308(1).jpg,1,Silk Beige Wedding Wear Embroidery Work Saree,,FALSE,Silk Beige Wedding Wear Embroidery Work Saree,Shop the Silk Beige Wedding Wear Embroidery Work Saree at LuxeMia. Crafted in premium Silk with exquisite Embroidery Work in Beige. Perfect for wedding wear. Free shipping on orders over $150. Dry clean only.,beige,Apparel & Accessories > Clothing,Unisex,Adult,,,,New,FALSE,,,,,
,silk-beige-wedding-wear-embroidery-work-saree-394442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Beige-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8308(2).jpg,2,Silk Beige Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
,silk-beige-wedding-wear-embroidery-work-saree-394442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Beige-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8308(3).jpg,3,Silk Beige Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
Silk Yellow Wedding Wear Embroidery Work Saree,silk-yellow-wedding-wear-embroidery-work-saree-394441,"<p><em>Where heritage meets modern sophistication - this is that piece.</em></p>

<h2>Silk Yellow Wedding Wear Embroidery Work Saree</h2>

<p>Meet the <strong>Silk Yellow Wedding Wear Embroidery Work Saree</strong> - a beautifully crafted <strong>saree</strong> made for wedding wear celebrations. Whether you're dressing for a wedding ceremony, a festive reception, or any celebration that calls for something extraordinary, this piece delivers the perfect balance of heritage, elegance, and contemporary style.</p>

<h3>The Fabric</h3>
<p><strong>Silk.</strong> Luxurious, luminous, and steeped in tradition - silk catches the light with every fold, creating a regal presence that transforms any occasion into something extraordinary.</p>

<h3>The Work</h3>
<p><strong>Embroidery Work.</strong> Intricate embroidery that transforms fabric into art - each stitch placed with precision to create patterns that captivate up close and from across the room.</p>

<h3>Why You'll Love This Piece</h3>
<ul>
  <li><strong>Colour:</strong> A carefully selected <strong>Yellow</strong> tone - flattering across skin tones, stunning in photographs, and rich under both natural and indoor lighting.</li>
  <li><strong>Fabric:</strong> Silk - chosen for its drape, longevity, and the way it makes the wearer feel as good as they look.</li>
  <li><strong>Occasion:</strong> Crafted for wedding wear - equally beautiful at intimate family gatherings and grand celebrations.</li>
  <li><strong>Silhouette:</strong> Designed to move with you, not restrict you - flattering across a wide range of body types.</li>
  <li><strong>Provenance:</strong> Sourced from India's finest textile regions and curated by our boutique team for exceptional quality.</li>
</ul>

<h3>Styling Notes</h3>
<p>Style with a sleek bun and bold bindi for timeless Indian elegance, or let it flow loose for contemporary bridal glamour.</p>

<h3>Common Questions</h3>
<p><strong>What occasions is this saree suitable for?</strong> This saree works beautifully for wedding ceremonies, festive gatherings, religious celebrations, reception events, and any occasion that calls for something extraordinary.</p>
<p><strong>Is the blouse included?</strong> Yes, this saree comes with a matching blouse piece that can be stitched to your measurements.</p>
<p><strong>How do I care for this fabric?</strong> We recommend dry cleaning to preserve the embroidery and fabric quality. Store folded in a cool, dry place away from direct sunlight.</p>

<p><small>Tags: yellow, silk, saree, buy online, Indian ethnic wear USA, boutique Indian fashion, designer, traditional Indian wear online</small></p>",LuxemiaShop,Apparel & Accessories > Clothing,Sarees,"Yellow, Silk, Wedding Wear, Embroidery Work, Saree, Sarees",TRUE,Active,LXM-SAR-006,,Color,Yellow,,,,,,,,255.99,366.07,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Yellow-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8307(1).jpg,1,Silk Yellow Wedding Wear Embroidery Work Saree,,FALSE,Silk Yellow Wedding Wear Embroidery Work Saree,Shop the Silk Yellow Wedding Wear Embroidery Work Saree at LuxeMia. Crafted in premium Silk with exquisite Embroidery Work in Yellow. Perfect for wedding wear. Free shipping on orders over $150. Dry clean only.,yellow,Apparel & Accessories > Clothing,Unisex,Adult,,,,New,FALSE,,,,,
,silk-yellow-wedding-wear-embroidery-work-saree-394441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Yellow-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8307(2).jpg,2,Silk Yellow Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
,silk-yellow-wedding-wear-embroidery-work-saree-394441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Yellow-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8307(3).jpg,3,Silk Yellow Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
Silk Pink Wedding Wear Embroidery Work Saree,silk-pink-wedding-wear-embroidery-work-saree-394440,"<p><em>Not every outfit tells a story. This one does.</em></p>

<h2>Silk Pink Wedding Wear Embroidery Work Saree</h2>

<p>Meet the <strong>Silk Pink Wedding Wear Embroidery Work Saree</strong> - a beautifully crafted <strong>saree</strong> made for wedding wear celebrations. Whether you're dressing for a wedding ceremony, a festive reception, or any celebration that calls for something extraordinary, this piece delivers the perfect balance of heritage, elegance, and contemporary style.</p>

<h3>The Fabric</h3>
<p><strong>Silk.</strong> Luxurious, luminous, and steeped in tradition - silk catches the light with every fold, creating a regal presence that transforms any occasion into something extraordinary.</p>

<h3>The Work</h3>
<p><strong>Embroidery Work.</strong> Intricate embroidery that transforms fabric into art - each stitch placed with precision to create patterns that captivate up close and from across the room.</p>

<h3>Why You'll Love This Piece</h3>
<ul>
  <li><strong>Colour:</strong> A carefully selected <strong>Pink</strong> tone - flattering across skin tones, stunning in photographs, and rich under both natural and indoor lighting.</li>
  <li><strong>Fabric:</strong> Silk - chosen for its drape, longevity, and the way it makes the wearer feel as good as they look.</li>
  <li><strong>Occasion:</strong> Crafted for wedding wear - equally beautiful at intimate family gatherings and grand celebrations.</li>
  <li><strong>Silhouette:</strong> Designed to move with you, not restrict you - flattering across a wide range of body types.</li>
  <li><strong>Provenance:</strong> Sourced from India's finest textile regions and curated by our boutique team for exceptional quality.</li>
</ul>

<h3>Styling Notes</h3>
<p>Complete the look with kundan jewellery and embellished heels for a showstopping entrance.</p>

<h3>Common Questions</h3>
<p><strong>What occasions is this saree suitable for?</strong> This saree works beautifully for wedding ceremonies, festive gatherings, religious celebrations, reception events, and any occasion that calls for something extraordinary.</p>
<p><strong>Is the blouse included?</strong> Yes, this saree comes with a matching blouse piece that can be stitched to your measurements.</p>
<p><strong>How do I care for this fabric?</strong> We recommend dry cleaning to preserve the embroidery and fabric quality. Store folded in a cool, dry place away from direct sunlight.</p>

<p><small>Tags: pink, silk, saree, buy online, Indian ethnic wear USA, boutique Indian fashion, designer, traditional Indian wear online</small></p>",LuxemiaShop,Apparel & Accessories > Clothing,Sarees,"Pink, Silk, Wedding Wear, Embroidery Work, Saree, Sarees",TRUE,Active,LXM-SAR-007,,Color,Pink,,,,,,,,255.99,366.07,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Pink-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8306(1).jpg,1,Silk Pink Wedding Wear Embroidery Work Saree,,FALSE,Silk Pink Wedding Wear Embroidery Work Saree,Shop the Silk Pink Wedding Wear Embroidery Work Saree at LuxeMia. Crafted in premium Silk with exquisite Embroidery Work in Pink. Perfect for wedding wear. Free shipping on orders over $150. Dry clean only.,pink,Apparel & Accessories > Clothing,Unisex,Adult,,,,New,FALSE,,,,,
,silk-pink-wedding-wear-embroidery-work-saree-394440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Pink-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8306(2).jpg,2,Silk Pink Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
,silk-pink-wedding-wear-embroidery-work-saree-394440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Pink-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8306(3).jpg,3,Silk Pink Wedding Wear Embroidery Work Saree,,,,,,,,,,,,,,,,,,
